,User-ID,Location,Age
193497,193498,"patchogue, new york, usa",35.0
46368,46369,"sydney, new south wales, australia",
275573,275574,"lisbon, n/a, portugal",19.0
38072,38073,"agoura hills, california, usa",
95294,95295,"oregon city, oregon, usa",32.0
87058,87059,"gibsons, british columbia, canada",
205912,205913,"mataró, barcelona, spain",23.0
87252,87253,"hamburg, hamburg, germany",
44216,44217,"winter haven, florida, usa",59.0
70136,70137,"north york, ontario, canada",
44451,44452,"le cannet, n/a, la france",16.0
206143,206144,"montreal, quebec, canada",24.0
10963,10964,"aberdeen, aberdeen, united kingdom",
253245,253246,"bonn, nordrhein-westfalen, germany",35.0
135421,135422,"roma, lazio, italy",51.0
260032,260033,"jonesboro, arkansas, usa",
204363,204364,"indianapolis, indiana, usa",
101718,101719,"sacramento, california, usa",
148944,148945,"charleston, south carolina, usa",55.0
28286,28287,"alcalá de henares, madrid, spain",28.0
217043,217044,"smithville, new jersey, usa",
29163,29164,"winston salem, north carolina, usa",
156351,156352,"lewisburg, west virginia, usa",39.0
85906,85907,"barcelona, barcelona, spain",29.0
32321,32322,"riverside, california, usa",47.0
146182,146183,"manresa, catalunya, spain",24.0
248903,248904,"oberschleißheim, bavaria, germany",
43308,43309,"doylestown, ohio, usa",42.0
236357,236358,"daton, wyoming, usa",
31255,31256,"charleston, south carolina, usa",
131654,131655,"charleston, west virginia, usa",
267240,267241,"marion, north carolina, usa",25.0
89602,89603,"perth, scotland, united kingdom",20.0
159583,159584,"brooklyn, new york, usa",56.0
43306,43307,"albany, new york, usa",
271784,271785,"asheville, north carolina, usa",
83861,83862,"cambridge, east anglia, united kingdom",
256287,256288,"asheville, north carolina, usa",
228171,228172,"rockhampton, queensland, australia",13.0
28780,28781,"munich, bavaria, germany",19.0
86585,86586,"grand ledge, michigan, usa",
135654,135655,"northfield center, ohio, usa",25.0
4095,4096,"newmarket, ontario, canada",38.0
5001,5002,"milano, milano, italy",
126639,126640,"atlanta, georgia, canada",34.0
254825,254826,"saronno, lombardia, italy",
100679,100680,"paris, ,",36.0
92125,92126,"daly city, california, usa",
179876,179877,"godoy cruz, alberta, argentina",57.0
223041,223042,"ann arbor, michigan, usa",36.0
148326,148327,"liverpool, england, united kingdom",32.0
146584,146585,"mill valley, california, usa",46.0
153564,153565,"bari, puglia, italy",27.0
197582,197583,"mckeesport, pennsylvania, usa",25.0
264149,264150,"valladolid, castilla y leon, spain",23.0
1110,1111,"london, ontario, canada",
194015,194016,"nashville, tennessee, usa",
236283,236284,"stoneham, massachusetts, usa",
31554,31555,"gothenburg, n/a, sweden",41.0
228250,228251,"coimbra, coimbra, portugal",1.0
110644,110645,"guangzhou, california, china",
256955,256956,"calgary, alberta, canada",45.0
252386,252387,"elsternwick, victoria, australia",58.0
161539,161540,"secret, hessen, germany",
180219,180220,"bilbao, bizkaia, spain",23.0
208533,208534,"morrisville, vermont, usa",
169856,169857,"mount juliet, tennessee, usa",
109112,109113,"henderson, nevada, usa",
56319,56320,"st charles, missouri, usa",
73194,73195,"meriden, connecticut, usa",26.0
46732,46733,"birmingham, england, united kingdom",23.0
236845,236846,"london, london, united kingdom",36.0
28121,28122,"seattle, washington, usa",33.0
224063,224064,"vevey, vaud, switzerland",30.0
227126,227127,"surrey, british columbia, canada",
80540,80541,"wrexham, wales, united kingdom",
62914,62915,"san diego, california, usa",
14669,14670,"in front of my computer, n/a, australia",
83104,83105,"brussels, brussels, belgium",28.0
22387,22388,"canfield, ohio, usa",
121932,121933,"melbourne, victoria, australia",
595,596,"san francisco, california, usa",49.0
131816,131817,"gevelsberg, \n/a\"", germany""",40.0
255718,255719,"columbus, ohio, usa",30.0
236096,236097,"san francisco, california, usa",
223305,223306,"colorado springs, colorado, usa",39.0
262268,262269,"varese, lombardia, italy",56.0
147584,147585,"winnipeg, manitoba, canada",23.0
115348,115349,"oakhurst, new jersey, usa",52.0
121836,121837,"dartmouth, nova scotia, canada",27.0
209135,209136,"mill creek, washington, usa",
122137,122138,"san francisco, california, usa",25.0
210841,210842,"painesville, ohio, usa",
102846,102847,"valladolid, valladolid, spain",36.0
179666,179667,"brisbane, queensland, australia",
164549,164550,"amsterdam, nh, netherlands",
205540,205541,"new fairfield, connecticut, usa",
37174,37175,"stafford, virginia, usa",48.0
251306,251307,"tingalpa, queensland, australia",
203832,203833,"guarda, beira alta, portugal",
257868,257869,"oviedo, asturias, spain",35.0
275364,275365,"sydney, new south wales, australia",
229070,229071,"winsted, connecticut, usa",
172457,172458,"erfurt, thueringen, germany",42.0
268895,268896,"millburn, new jersey, usa",
158119,158120,"oakland, california, usa",
85515,85516,"calcutta, saarland, india",36.0
129430,129431,"los angeles, california, usa",33.0
194005,194006,"newport, rhode island, usa",51.0
62930,62931,"san diego, california, usa",
237362,237363,"st. francis, wisconsin, usa",25.0
167511,167512,"medowie, new south wales, australia",34.0
257019,257020,"peterborough, ontario, canada",34.0
222041,222042,"olympia, washington, usa",
123753,123754,"orlando, florida, usa",
201864,201865,"austin, texas, usa",
28667,28668,"nordborg, ,",51.0
130960,130961,"falls church, virginia, usa",
123636,123637,"st. john`s, newfoundland, canada",
188738,188739,"la selva beach, california, usa",
35009,35010,"garner, north carolina, usa",
211609,211610,"buthiers, haute-saône, france",50.0
226344,226345,"kassel, n/a, germany",
165460,165461,"zamora, castilla y león, spain",41.0
121552,121553,"buffalo, new york, usa",
177568,177569,"port orchard, washington, usa",52.0
98750,98751,"recife, pernambuco, brazil",21.0
34476,34477,"northfield, new hampshire, usa",17.0
41807,41808,"boston, massachusetts, usa",29.0
36748,36749,"newton, mississippi, usa",
175491,175492,"münchen, bayern, germany",26.0
101334,101335,"halifax, nova scotia, canada",31.0
244773,244774,"atlanta, georgia, usa",
264654,264655,"whistler, british columbia, canada",25.0
109228,109229,"castellanza, lombardia, italy",24.0
125941,125942,"roma, lazio, italy",
79701,79702,"melbourne, victoria, australia",60.0
57953,57954,"fargo, north dakota, usa",38.0
167537,167538,"birmingham, england, united kingdom",23.0
190564,190565,"el cajon, california, usa",
31594,31595,"madison, alabama, usa",
216373,216374,"são paulo, são paulo, brazil",47.0
16185,16186,"singapore, n/a, singapore",15.0
151682,151683,"columbia, maryland, usa",
83932,83933,"lockhart, texas, usa",
224771,224772,"west covina, california, usa",17.0
183405,183406,"valencia, valencia, spain",18.0
165843,165844,"uppsala, n/a, sweden",
190262,190263,"paducah, kentucky, usa",48.0
149305,149306,"new york, new york, usa",
162157,162158,"lynnwood, washington, usa",35.0
207446,207447,"st.louis, missouri, usa",18.0
234410,234411,"ha noi, ha` noi, vietnam",15.0
21081,21082,"west richland, washington, usa",40.0
181710,181711,"moses lake, washington, usa",19.0
174472,174473,"longmont, colorado, usa",
211408,211409,"chicago, illinois, usa",
134468,134469,"lawrence, kansas, usa",21.0
42931,42932,"saskatoon, saskatchewan, canada",45.0
248338,248339,"ontario, california, usa",
107121,107122,"delta, british columbia, canada",34.0
241621,241622,"llandudno, wales, united kingdom",35.0
117467,117468,"chloe, west virginia, usa",22.0
193601,193602,"tigard, oregon, usa",
226872,226873,"beaverbank, nova scotia, canada",38.0
87534,87535,"ciudad de buenos aires, yukon territory, argentina",23.0
235694,235695,"bethalto, illinois, usa",41.0
159984,159985,"vilanova i la geltrú, barcelona, spain",36.0
189671,189672,"ottawa, ontario, canada",
229529,229530,"wiesbaden, hessen, germany",
104432,104433,"k-town, tennessee, usa",
6832,6833,"barcelona, barcelona, spain",42.0
920,921,"osnabrück, niedersachsen, germany",
255038,255039,"madison, alabama, usa",
140369,140370,"glasgow, scotland, united kingdom",26.0
49329,49330,"padova, veneto, italy",27.0
147386,147387,"lockport, illinois, usa",41.0
183365,183366,"hurlingham, buenos aires, argentina",24.0
73842,73843,"kenosha, wisconsin, usa",
140708,140709,"visoko, bosnia, bosnia and herzegovina",21.0
40618,40619,"los angeles, california, usa",32.0
166459,166460,"carcavelos - lisboa, lisboa, portugal",25.0
159323,159324,"pescara, abruzzo, italy",36.0
103196,103197,"toms river, new jersey, usa",13.0
15810,15811,"pensacola, florida, usa",1.0
201536,201537,"seri kembangan, selangor, malaysia",22.0
143576,143577,"armonk, new york, usa",
168863,168864,"newbury, berkshire, united kingdom",
201705,201706,"yuma, arizona, usa",37.0
259592,259593,"atlanta, georgia, usa",
73894,73895,"basingstoke, england, united kingdom",42.0
162801,162802,"montreal, quebec, canada",
176617,176618,"monee, illinois, usa",32.0
199305,199306,"são paulo, são paulo, brazil",32.0
52402,52403,"ferndale, michigan, usa",
15839,15840,"paris, australian capital territory, france",27.0
118746,118747,"powhatan, virginia, usa",
265120,265121,"calgary, alberta, canada",37.0
252637,252638,"redmond, washington, usa",30.0
48045,48046,"central sq., new york, usa",
253306,253307,"carrollton, georgia, usa",
162621,162622,"gainesville, missouri, usa",13.0
159338,159339,"huntington station, new york, usa",
85278,85279,"barcelona, catalunya, spain",21.0
42267,42268,"adel, iowa, usa",46.0
191252,191253,"freeland, washington, usa",50.0
12768,12769,"giessen, hessen, germany",21.0
224035,224036,"des plaines, illinois, usa",70.0
244706,244707,"hollister, california, usa",
13694,13695,"nice, n/a, france",19.0
78477,78478,"hackett, arkansas, usa",71.0
121426,121427,"grand rapids, michigan, usa",
78480,78481,"sacramento, california, usa",31.0
204014,204015,"&#33713;&#33436;, &#33713;&#33436;, china",15.0
108683,108684,"ewing, new jersey, usa",34.0
224151,224152,"beirut, n/a, lebanon",43.0
235141,235142,"champaign, illinois, usa",32.0
262723,262724,"giraltovce, presovsky kraj, slovakia",21.0
19310,19311,"biella, biella, italy",
25677,25678,"fall branch, tennessee, usa",
11052,11053,"kuala lumpur, n/a, malaysia",
25683,25684,"burlington, ontario, canada",
200486,200487,"windsor, ontario, canada",26.0
263629,263630,"hickory, north carolina, usa",
276107,276108,"chapel hill, north carolina, usa",70.0
9731,9732,"san diego, california, usa",
41326,41327,"coatesville, queensland, australia",
130471,130472,"caloundra, queensland, australia",44.0
859,860,"bristol, england, united kingdom",26.0
235413,235414,"dublin, n/a, ireland",
175584,175585,"munich, brandenburg, germany",41.0
219826,219827,"riverton, wyoming,",
7524,7525,"perth, western australia, australia",33.0
1744,1745,"cedar rapids, iowa, usa",
87627,87628,"dayton, tennessee, usa",
26093,26094,"schneverdingen, niedersachsen, germany",22.0
147598,147599,"cambridge, england, united kingdom",36.0
544,545,"pomona, missouri, usa",
7262,7263,"stockholm, södermanland, sweden",25.0
146285,146286,"oviedo, asturias, spain",45.0
215517,215518,"altoona, pennsylvania, usa",23.0
36220,36221,"beverly, massachusetts, usa",
205553,205554,"east northport, new york, usa",16.0
258693,258694,"alghero, sassari, italy",
153451,153452,"malta, maltese, malta",
159821,159822,"aptos, california, usa",37.0
93023,93024,"independence, kentucky, usa",
187192,187193,"tulsa, oklahoma, usa",59.0
251345,251346,"southampton, hawaii, united kingdom",
111734,111735,"brookhaven, new york, usa",
257198,257199,"canton, ohio, usa",57.0
17081,17082,"brookings, south dakota, usa",27.0
13306,13307,"atlantic city, new jersey, usa",
158590,158591,"christchurch, canterbury, new zealand",50.0
229998,229999,"york, england, united kingdom",13.0
267340,267341,"benton, illinois, usa",27.0
241959,241960,"carrollton, texas, usa",18.0
6240,6241,"bowmanstown, pennsylvania, usa",31.0
3215,3216,"dublin, victoria, ireland",25.0
68532,68533,"cooper city, florida, usa",32.0
114497,114498,"massapequa, new york, usa",37.0
137568,137569,"seattle, washington, usa",52.0
238925,238926,"montreal, quebec, canada",
74121,74122,"madison, wisconsin, usa",
178518,178519,"new york, new york, usa",
71457,71458,"hastings on hudson, new york, usa",43.0
94060,94061,"st. catharines, ontario, canada",62.0
272603,272604,"wielerbach, rheinland-pfalz, germany",22.0
277163,277164,"islamabad, nebraska, pakistan",
188222,188223,"london, n/a, united kingdom",
106638,106639,"irving, texas, usa",
143596,143597,"louisville, kentucky, usa",
239201,239202,"pasadena, california, usa",
257613,257614,"westland, michigan, usa",37.0
40360,40361,"carrollton, kentucky, usa",50.0
159056,159057,"luebeck, schleswig-holstein, germany",39.0
154576,154577,"arcata, california, usa",
184833,184834,"meinerzhagen, nordrhein-westfalen, germany",
150941,150942,"lancaster, pennsylvania, usa",39.0
193375,193376,"castellon, n/a, spain",30.0
29762,29763,"bourbonnais, illinois, usa",56.0
36879,36880,"lisbon, manitoba, portugal",
100562,100563,"walla walla, washington, usa",
150557,150558,"south pasadena, california, usa",37.0
241840,241841,"portland, oregon, usa",42.0
275330,275331,"rock hill, missouri, usa",34.0
191596,191597,"union city, new jersey, usa",15.0
116401,116402,"london, england, united kingdom",
107225,107226,"donostia, gipuzkoa, spain",39.0
55071,55072,"austin, texas, usa",26.0
32019,32020,"hurstbridge, victoria, australia",14.0
116098,116099,"columbus, ohio, usa",30.0
124590,124591,"phoenix, arizona, usa",
102127,102128,"colorado springs, ,",
189695,189696,"wynne, arkansas, usa",25.0
69288,69289,"christchurch, england, united kingdom",55.0
235557,235558,"calgary, alberta, canada",37.0
103953,103954,"rome, lazio, italy",43.0
109302,109303,"camorino, ticino, switzerland",
149629,149630,"kamuela, hawaii, usa",15.0
218121,218122,"southampton, england, united kingdom",18.0
46446,46447,"vancouver, british columbia, canada",
40230,40231,"brandon, florida, usa",57.0
63759,63760,"sjm, porto, portugal",18.0
265842,265843,"grass valley, california, usa",62.0
262856,262857,"denton, texas, usa",
230312,230313,"arden hills, minnesota, usa",
66564,66565,"bloomington, indiana, usa",75.0
6361,6362,"puracic - lukavac, n/a, bosnia and herzegovina",0.0
82756,82757,"mizunami, inatsu, hagiwara, gifu, japan",18.0
165207,165208,"valencia, comunidad valenciana, spain",19.0
187178,187179,"medford, new jersey, usa",
150211,150212,"culver city, california, usa",
97408,97409,"stockbridge, georgia, usa",54.0
148979,148980,"coral springs, florida, usa",
20081,20082,"znuizinbt, fzmnuoi, tdzimi",
202938,202939,"jefferson city, missouri, usa",
751,752,"lake charles, louisiana, usa",
183073,183074,"sugarland, texas, usa",
72418,72419,"nottingham, england, united kingdom",18.0
274840,274841,"lüdinghausen, nordrhein-westfalen, germany",32.0
120949,120950,"san francisco, california, usa",
218193,218194,"tucson, arizona, usa",
274526,274527,"alicante, baden-wuerttemberg, spain",17.0
209478,209479,"los angeles, california, usa",28.0
16732,16733,"gorham, maine, usa",57.0
106186,106187,"wellfleet, massachusetts, usa",57.0
114417,114418,"louisville, kentucky, usa",32.0
124058,124059,"toronto, ,",
137716,137717,"antioch, california, usa",
224940,224941,"west bloomfield, michigan, usa",
65948,65949,"ottawa, ontario, canada",30.0
137327,137328,"barcelona, catalunya, andorra",25.0
200905,200906,"8410, 8410, denmark",
173599,173600,"edinburgh, n/a, united kingdom",30.0
250126,250127,"groovyville, british columbia, canada",
210356,210357,"regina, saskatchewan, canada",39.0
17579,17580,"mainaschaff, bayern, germany",28.0
236414,236415,"iloilo, iloilo, philippines",23.0
173479,173480,"woodstock, georgia, usa",40.0
109731,109732,"madrid, madrid, spain",36.0
207826,207827,"glendale, california, usa",
117423,117424,"lincoln, nebraska, usa",
121088,121089,"san diego, california, usa",
55787,55788,"wilmington, massachusetts, usa",47.0
247857,247858,"anaheim hills, california, usa",57.0
29337,29338,"rotterdam, zuid holland, netherlands",
221784,221785,"gorizia, friuli venezia giulia, italy",
6912,6913,"charlottesville, virginia, usa",
259828,259829,"madison, wisconsin, usa",44.0
239063,239064,"auckland, auckland, new zealand",52.0
112601,112602,"vancouver, ,",
158143,158144,"gold coast, queensland, australia",
115293,115294,"beaver, pennsylvania, usa",52.0
220271,220272,"rostock, mecklenburg-vorpommern, germany",27.0
64160,64161,"islandia, new york, usa",57.0
4018,4019,"mtl, quebec, canada",30.0
206477,206478,"hillsboro, oregon, usa",
245564,245565,"frederiksberg, na, denmark",34.0
233272,233273,"austin, texas, usa",31.0
10923,10924,"silver lake, missouri, usa",20.0
139389,139390,"portland, oregon, usa",
118350,118351,"shanghai, shanghai, china",26.0
151163,151164,"newtown, pennsylvania, usa",24.0
178413,178414,"brest, wyoming, france",38.0
221303,221304,"tampere, pirkanmaa, finland",33.0
132261,132262,"nashville, tennessee, usa",30.0
221353,221354,"espoo, n/a, finland",
41569,41570,"jacksonville, texas, usa",45.0
113098,113099,"maple grove, minnesota, usa",43.0
143522,143523,"bremen, bremen, germany",
266827,266828,"seattle, washington, usa",32.0
146507,146508,"waxhaw, north carolina, usa",17.0
220546,220547,"cincinnati, ohio, usa",23.0
133654,133655,"reggio emilia, emilia romagna, italy",21.0
89778,89779,"milano, milano, italy",2.0
129106,129107,"hamburg, hamburg, germany",
86318,86319,"oak park, illinois, usa",
117443,117444,"springfield, missouri, usa",30.0
250691,250692,"kämpfelbach, baden-württemberg, germany",
263409,263410,"mississauga, pennsylvania, canada",35.0
244695,244696,"st paul, minnesota, usa",
270371,270372,"new york, new york, usa",
33006,33007,"lleida, catalunya, spain",43.0
12782,12783,"milwaukee, wisconsin, usa",
62500,62501,"rochester, new york, usa",
194461,194462,"fenton, missouri, usa",
45811,45812,"zephyrhills, florida, usa",
232342,232343,"philadelphia, pennsylvania, usa",
208275,208276,"san francisco, california, usa",
76727,76728,"adelaide, south australia, australia",24.0
123026,123027,"canberra, australian capital territory, australia",15.0
99725,99726,"san diego, california, usa",
95000,95001,"northampton, northamptonshire, united kingdom",38.0
171696,171697,"springboro, ohio, usa",
108565,108566,"reykjavik, n/a, iceland",
155462,155463,"st. albans, west virginia, usa",38.0
107391,107392,"birmingham, england, united kingdom",25.0
242698,242699,"coburg, oregon, usa",
144351,144352,"tulare, california, usa",28.0
101526,101527,"eugene, oregon,",
240017,240018,"sturgeon, missouri, usa",16.0
243832,243833,"kelowna, british columbia, canada",
79121,79122,"karachi, pakistan/sind/asia, pakistan",
30258,30259,"acton, massachusetts, usa",
202843,202844,"grimsby, lincolnshire, united kingdom",
9061,9062,"sydney, new south wales, australia",29.0
275692,275693,"hamburg, hamburg, germany",33.0
7845,7846,"nürnberg, bayern, germany",
70755,70756,"east brookfield, massachusetts, usa",24.0
50155,50156,"dallas, texas, usa",25.0
64542,64543,"wellington, wellington, new zealand",24.0
253982,253983,"torino, piemonte, italy",48.0
110934,110935,"ithaca, new york, usa",52.0
88428,88429,"goodna, queensland, australia",12.0
130862,130863,"giessen, hessen, germany",37.0
117759,117760,"st catharines, ontario, canada",33.0
231290,231291,"omaha, nebraska, usa",
154051,154052,"madrid, madrid, spain",32.0
28758,28759,"ladson, south carolina, usa",
119476,119477,"milano, lombardia, italy",37.0
274388,274389,"matosinhos, porto, portugal",20.0
168838,168839,"naperville, illinois, usa",
182745,182746,"jacksonville, florida, usa",44.0
137131,137132,"trenton, new jersey, usa",
172626,172627,"cholet, n/a, france",22.0
178154,178155,"victoria, british columbia, canada",
195111,195112,"lake placid, new york, usa",48.0
31094,31095,"riverside, iowa, usa",44.0
26903,26904,"dachau, bayern, germany",19.0
34691,34692,"portland, maine, usa",
142050,142051,"vancouver, ,",58.0
121612,121613,"panama, panama, pa",
101152,101153,"roseville, minnesota, usa",22.0
230792,230793,"ferrara, emilia romagna, italy",20.0
48766,48767,"payne, ohio, usa",
214874,214875,"catanzaro, calabria, italy",25.0
84966,84967,"toronto, ontario, canada",
28785,28786,"toronto, ontario, canada",51.0
41785,41786,"morton, illinois, usa",15.0
47980,47981,"battle ground, washington, usa",21.0
193788,193789,"buffalo, new york, usa",59.0
27801,27802,"soest, nordrhein-westfalen, germany",38.0
170301,170302,"gloucestershire, england, united kingdom",16.0
52571,52572,"gold coast, queensland, australia",
224620,224621,"hemsbach, baden-wuerttemberg, germany",21.0
245718,245719,"enfield, connecticut, usa",
147651,147652,"madrid, n/a, spain",34.0
80036,80037,"shanghai, saarland, china",26.0
35449,35450,"berlin, berlin, germany",26.0
204460,204461,"san antonio, texas, usa",
45782,45783,"bromley, kent, united kingdom",
175478,175479,"auckland, northland, new zealand",48.0
236480,236481,"placitas, new mexico, usa",
40383,40384,"le locle, neuchâtel, switzerland",
176230,176231,"san diego, california, usa",
241083,241084,"fullerton, california, usa",19.0
101885,101886,"west chesterfield, new hampshire, usa",29.0
117582,117583,"albuquerque, new mexico, usa",
186813,186814,"petaluma, california, usa",20.0
155775,155776,"mildura, victoria, australia",51.0
158552,158553,"macon, georgia, usa",32.0
39092,39093,"milano, lombardia, italy",38.0
84176,84177,"morelia, michoacan, mexico",38.0
125556,125557,"joplin, missouri, usa",
141024,141025,"churchville, pennsylvania, usa",
143397,143398,"clinton, mississippi, usa",
147779,147780,"worcester, ,",28.0
126178,126179,"portland, oregon, usa",
253514,253515,"torfaen, wales, united kingdom",26.0
69689,69690,"san donato milanese, lombardia, italy",
62322,62323,"arlington, texas, usa",37.0
271311,271312,"mississauga, ontario, canada",37.0
115214,115215,"roswell, georgia, usa",44.0
91790,91791,"creston, british columbia, canada",
112659,112660,"melbourne, victoria, australia",
180464,180465,"chilliwack, british columbia, canada",26.0
74306,74307,"phillipsburg, new jersey, usa",28.0
28203,28204,"south ohio, nova scotia, canada",61.0
72318,72319,"hannover, niedersachsen, germany",
198115,198116,"aarau, aargau, switzerland",44.0
79717,79718,"kittanning, pennsylvania, usa",42.0
103393,103394,"prestwick, scotland, united kingdom",16.0
7450,7451,"plymouth, minnesota, usa",30.0
